date,index_code,open,close,low,high,volume,money,change
20020709,sh000300,1423.7,1419.47,1423.7,1423.7,712899992.0,6358741384.0,-0.0029676279205700005
20020710,sh000300,1419.47,1392.9,1419.47,1419.47,865735778.0,7827294929.0,-0.0187182408094
20020711,sh000300,1392.9,1390.93,1392.9,1392.9,618361330.0,5659176698.0,-0.00141575029381
20020712,sh000300,1390.93,1389.45,1390.93,1390.93,485352600.0,4683224436.0,-0.00106331811329
20020715,sh000300,1389.45,1379.38,1389.45,1389.45,560738691.0,5031157859.0,-0.007247472021299999
20020716,sh000300,1379.38,1382.41,1379.38,1379.38,503486450.0,4487100298.0,0.0021980889965100003
20020717,sh000300,1382.41,1393.02,1382.41,1382.41,436982038.0,4113163954.0,0.00767499124718
20020718,sh000300,1393.02,1397.41,1393.02,1393.02,555096045.0,5106839171.0,0.00315070400898
20020719,sh000300,1397.41,1403.25,1397.41,1397.41,459071457.0,4558436865.0,0.0041805882449800005
20020722,sh000300,1403.25,1380.28,1403.25,1403.25,549020186.0,5260090616.0,-0.016369820695200002
20020723,sh000300,1380.28,1375.61,1380.28,1380.28,493380214.0,4816905066.0,-0.00338264209777
20020724,sh000300,1375.61,1372.89,1375.61,1375.61,397495743.0,3935871908.0,-0.0019780272504
20020725,sh000300,1372.89,1365.0,1372.89,1372.89,388242547.0,3653346231.0,-0.00575136281659
20020726,sh000300,1365.0,1361.41,1365.0,1365.0,360891864.0,3359879769.0,-0.00262784652849
20020729,sh000300,1361.41,1368.8,1361.41,1361.41,350565303.0,3423785173.0,0.00542673068857
20020730,sh000300,1368.8,1371.91,1368.8,1368.8,416801173.0,4034515441.0,0.00227352923772
20020731,sh000300,1371.91,1358.16,1371.91,1371.91,419306609.0,4334334222.0,-0.0100218017376
20020801,sh000300,1358.16,1355.3,1358.16,1358.16,359563412.0,3216782380.0,-0.0021035813159
20020802,sh000300,1355.3,1359.99,1355.3,1355.3,264620918.0,2478828392.0,0.00346048079286
20020805,sh000300,1359.99,1353.48,1359.99,1359.99,246511249.0,2428997249.0,-0.004789730535380001
20020806,sh000300,1353.48,1368.99,1353.48,1353.48,478749237.0,4144713831.0,0.0114630518833
20020807,sh000300,1368.99,1366.8,1368.99,1368.99,258060533.0,2440062058.0,-0.0016062889976099998
20020808,sh000300,1366.8,1359.68,1366.8,1366.8,279072117.0,2580443155.0,-0.00520780365746
20020809,sh000300,1359.68,1350.31,1359.68,1359.68,328014741.0,3107672918.0,-0.00688840070105
20020812,sh000300,1350.31,1340.22,1350.31,1350.31,279923066.0,2647906623.0,-0.007476055516100002
20020813,sh000300,1340.22,1342.36,1340.22,1340.22,202171503.0,1967796681.0,0.00159750368597
20020814,sh000300,1342.36,1351.51,1342.36,1342.36,210595636.0,1954320429.0,0.00681636852194
20020815,sh000300,1351.51,1340.97,1351.51,1351.51,236280050.0,2068089927.0,-0.0077979618307600015
20020816,sh000300,1340.97,1349.62,1340.97,1340.97,353192685.0,3081509201.0,0.00645354698994
20020819,sh000300,1349.62,1347.16,1349.62,1349.62,238393304.0,2244689088.0,-0.00182421448376
20020820,sh000300,1347.16,1370.05,1347.16,1347.16,652409316.0,5838046303.0,0.0169883310075
20020821,sh000300,1370.05,1370.96,1370.05,1370.05,515481264.0,4643741459.0,0.000664941177158
20020822,sh000300,1370.96,1381.55,1370.96,1370.96,618309964.0,5923560663.0,0.00772598994717
20020823,sh000300,1381.55,1379.42,1381.55,1381.55,422819949.0,4244849849.0,-0.0015417477049300002
20020826,sh000300,1379.42,1366.18,1379.42,1379.42,357184799.0,3371820173.0,-0.00959679401255
20020827,sh000300,1366.18,1369.76,1366.18,1366.18,356421407.0,3422175571.0,0.0026197114438
20020828,sh000300,1369.76,1368.4,1369.76,1369.76,310438609.0,3101253583.0,-0.000995064828875
20020829,sh000300,1368.4,1362.67,1368.4,1368.4,345560216.0,3161506899.0,-0.00418518894736
20020830,sh000300,1362.67,1361.3,1362.67,1362.67,233813380.0,2154537352.0,-0.00100684685214
20020902,sh000300,1361.3,1362.15,1361.3,1361.3,226330156.0,2166617107.0,0.000627342433472
20020903,sh000300,1362.15,1366.71,1362.15,1362.15,245450461.0,2406635335.0,0.00334617575718
20020904,sh000300,1366.71,1358.78,1366.71,1366.71,279033134.0,2646662887.0,-0.00580225505045
20020905,sh000300,1358.78,1341.47,1358.78,1358.78,429224147.0,3936022408.0,-0.0127408410486
20020906,sh000300,1341.47,1334.34,1341.47,1341.47,347681720.0,3030515072.0,-0.005311345481220001
20020909,sh000300,1334.34,1323.13,1334.34,1334.34,298338812.0,2728738146.0,-0.00840188767056
20020910,sh000300,1323.13,1324.21,1323.13,1323.13,232096514.0,2211858849.0,0.000814733526209
20020911,sh000300,1324.21,1319.03,1324.21,1324.21,275450637.0,2477320741.0,-0.00390874559171
20020912,sh000300,1319.03,1322.23,1319.03,1319.03,204929493.0,1930897511.0,0.00242450156706
20020913,sh000300,1322.23,1321.81,1322.23,1322.23,202191930.0,1877911860.0,-0.000319913600639
20020916,sh000300,1321.81,1302.62,1321.81,1321.81,302332248.0,2767063858.0,-0.0145194956306
20020917,sh000300,1302.62,1304.38,1302.62,1302.62,274525534.0,2433079728.0,0.00135035854745
20020918,sh000300,1304.38,1295.56,1304.38,1304.38,192402426.0,1777700673.0,-0.00675802069342
20020919,sh000300,1295.56,1319.82,1295.56,1295.56,396170888.0,3545378291.0,0.0187223913038
20020920,sh000300,1319.82,1305.75,1319.82,1319.82,249235772.0,2368240212.0,-0.0106605688516
20020923,sh000300,1305.75,1304.92,1305.75,1305.75,173502915.0,1704336451.0,-0.000630290553989
20020924,sh000300,1304.92,1299.19,1304.92,1304.92,217921142.0,2035330146.0,-0.00439795727567
20020925,sh000300,1299.19,1299.52,1299.19,1299.19,250530408.0,2463713378.0,0.000260163102253
20020926,sh000300,1299.52,1291.38,1299.52,1299.52,265403163.0,2571855229.0,-0.00626768437342
20020927,sh000300,1291.38,1285.65,1291.38,1291.38,248208373.0,2394882880.0,-0.004434023190729999
20021008,sh000300,1285.65,1272.94,1285.65,1285.65,185906277.0,1698149896.0,-0.00988836792538
20021009,sh000300,1272.94,1247.53,1272.94,1272.94,274865552.0,2228660196.0,-0.0199585368977
20021010,sh000300,1247.53,1241.55,1247.53,1247.53,205353604.0,1724282205.0,-0.0047942619554
20021011,sh000300,1241.55,1237.14,1241.55,1241.55,194197687.0,1712163307.0,-0.003553616763530001
20021014,sh000300,1237.14,1243.74,1237.14,1237.14,232079416.0,2020002447.0,0.00533811856378
20021015,sh000300,1243.74,1238.97,1243.74,1243.74,191668627.0,1681368511.0,-0.00384082254869
20021016,sh000300,1238.97,1247.72,1238.97,1238.97,277985791.0,2430618262.0,0.00706475636558
20021017,sh000300,1247.72,1228.26,1247.72,1247.72,239748459.0,2059832330.0,-0.0155940435354
20021018,sh000300,1228.26,1233.67,1228.26,1228.26,250141679.0,2252668724.0,0.00440052334069
20021021,sh000300,1233.67,1237.36,1233.67,1233.67,194737994.0,1772424564.0,0.0029943226216500004
20021022,sh000300,1237.36,1254.74,1237.36,1237.36,348569137.0,3007483413.0,0.014043586274700004
20021023,sh000300,1254.74,1255.64,1254.74,1254.74,263162822.0,2295707760.0,0.0007140927316360001
20021024,sh000300,1255.64,1244.56,1255.64,1255.64,258142770.0,2375681036.0,-0.00882103477523
20021025,sh000300,1244.56,1233.58,1244.56,1244.56,262577261.0,2286669675.0,-0.00882320564955
20021028,sh000300,1233.58,1219.43,1233.58,1233.58,247225495.0,2113767219.0,-0.0114731293846
20021029,sh000300,1219.43,1226.78,1219.43,1219.43,247462834.0,2274968498.0,0.006027430961310001
20021030,sh000300,1226.78,1225.94,1226.78,1226.78,220142362.0,2017224167.0,-0.000680646410304
20021031,sh000300,1225.94,1225.34,1225.94,1225.94,209429895.0,1942946930.0,-0.00049105176436
20021101,sh000300,1225.34,1227.85,1225.34,1225.34,209686372.0,1877739519.0,0.00204923049803
