应付职工薪酬,200423713.14,178598447.83,121908373.25,92368842.79,123627887.92,134522135.01,132150827.95,117059973.16,84892056.04,83050811.12,85673973.57,21106559.12,18818457.28,14779336.59,13975287.70,15263345.43,16998049.29,11282112.03,7667298.44,4328075.73,4296527.59,0.0
应交税费,374687351.46,326445698.88,222471040.90,186138437.69,192423724.01,139796458.18,124119215.62,115541124.82,112157709.58,40171631.66,37963049.54,-8951012.84,30638491.39,21189477.27,5079518.36,9228828.70,5248375.35,18007445.05,4192215.58,4217753.36,4721620.99,0.0
应付利息,58787828.55,87876087.64,196577192.70,87444180.24,119446614.65,75398546.65,72937882.35,23097010.68,2344943.93,1021271.74,1824433.52,0,0,0,0,0,0,0,0,0,0,0.0
应付股利,22050182.42,59048988.41,151864648.63,21960066.10,45831077.33,37495158.56,41738444.80,23890580.54,17788981.31,4651009.39,1847181.46,171858.98,491692.94,28185.98,28185.68,28185.68,347516485.68,367400000.00,0,0,0,0.0
其他应付款,1941093714.85,1529281281.27,1359729353.45,1249041666.88,1018405012.92,1082731444.41,986731313.46,967447218.64,1237483352.65,566742332.80,412404494.56,400493688.51,289368124.47,81440687.61,32203408.77,13506603.08,17741569.52,2298486.69,110354740.90,26880112.08,31141817.17,0.0
预提费用,0,0,0,0,0,0,0,0,0,0,0,4481896.78,676254.58,6978866.91,10089793.26,10996366.23,16269200.62,950000.00,734630.60,0,0,0.0
一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,977357808.22,0,0,0,0,0,0,0,0,0.0
一年内到期的非流动负债,4674746007.57,2955601511.26,2997972541.68,841986058.60,1871828678.63,902214153.79,453080113.80,483108979.87,332202730.71,49527560.00,0,2450000.00,0,0,0,0,0,0,0,0,0,0.0
其他流动负债,544021315.28,1500000000.00,1000000000.00,0,1871782.37,2081981.80,1434315.13,801344315.13,0,816981917.80,822446666.68,0,0,0,0,0,0,0,0,0,0,0.0
流动负债合计,18366109316.02,10769241227.18,11491009549.62,7688695432.71,7523438002.09,7188798779.08,4676639988.70,5242338024.98,3868904228.83,3430508646.45,3576865928.89,2296532538.99,1960102065.59,1663935057.04,555709411.96,1357606658.16,964049732.83,807799738.09,176626585.61,60047864.58,63610024.91,0.0
非流动负债,,,,,,,,,,,,,,,,,,,,,,
长期借款,10840661029.88,11241323394.06,8193208927.81,4630345650.41,4041206568.84,2785942644.45,3272850906.36,3112370682.10,2642328245.30,1823201056.13,583368651.38,1600917704.49,1617719335.55,1109114420.75,87000000.00,180000000.00,230000000.00,330000000.00,390000000.00,415000000.00,420000000.00,0.0
应付债券,1653420000.00,1693700000.00,2849360000.00,4111808128.50,1909603430.50,2000000000.00,2000000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
长期应付款,1006075616.43,707571056.40,540200945.51,150274013.12,225311169.87,394899055.87,137732203.51,113150385.51,69432211.79,76841299.79,71590913.00,78107222.00,9093075.00,0,0,0,0,0,0,0,0,0.0
长期应付职工薪酬,2222239.10,3097968.88,4176467.30,5397565.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
专项应付款,115634563.99,102820063.14,102172088.16,152340892.55,89642705.00,71281863.07,74634063.26,57395122.16,27593796.21,22864137.91,17015860.89,16004840.64,15628078.97,0,0,0,0,0,0,0,0,0.0
预计非流动负债,1378635429.29,1039764255.93,722608482.60,512951917.50,548485145.38,526098728.33,464107208.97,365532004.21,317078545.29,315291179.59,0,0,0,0,0,0,0,0,0,0,0,0.0
递延所得税负债,357456588.33,332704439.52,319222653.89,30205337.14,35581420.25,17747287.83,17010624.44,8507117.08,7539004.92,5489648.40,3650251.85,0,0,0,0,0,0,0,0,0,0,0.0
长期递延收益,139930882.17,130143333.24,102930255.78,91122021.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
其他非流动负债,0,0,0,0,112984346.48,56753633.06,24615781.53,25202596.66,25691226.92,26341542.05,14198303.33,0,0,0,0,0,0,9435085.43,0,0,0,0.0
非流动负债合计,15494036349.19,15251124511.17,12833879821.05,9684445525.56,6962814786.32,5852723212.61,5990950788.07,3682157907.72,3089663030.43,2270028863.87,689823980.45,1695029767.13,1642440489.52,1109114420.75,87000000.00,180000000.00,230000000.00,339435085.43,390000000.00,415000000.00,420000000.00,0.0
负债合计,33860145665.21,26020365738.35,24324889370.67,17373140958.27,14486252788.41,13041521991.69,10667590776.77,8924495932.70,6958567259.26,5700537510.32,4266689909.34,3991562306.12,3602542555.11,2773049477.79,642709411.96,1537606658.16,1194049732.83,1147234823.52,566626585.61,475047864.58,483610024.91,0.0
所有者权益,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),4820614124.00,4820614124.00,2410307062.00,2200000000.00,2200000000.00,2200000000.00,2200000000.00,2200000000.00,2200000000.00,2200000000.00,2200000000.00,2200000000.00,2200000000.00,1100000000.00,1100000000.00,1100000000.00,1100000000.00,1100000000.00,800000000.00,948812225.49,946285711.24,0.0
资本公积,607643405.52,607588336.13,2943442877.97,1565567773.79,1650987977.13,1677622902.59,1664835412.11,1634824705.86,1620902528.12,1617115861.55,1668653973.83,1605549269.02,1604984789.43,2703617825.10,2707338493.99,2679790908.92,2683723722.43,2679509351.52,312417318.30,0,0,0.0
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
其他综合收益,-268435109.84,-465443850.73,-388311601.88,82900402.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
盈余公积,892413081.58,835256946.55,784962553.85,737544870.20,658756359.03,619591694.15,580316232.58,545504658.19,514315537.00,486050602.91,459175003.41,437935957.50,382382606.18,308279310.54,283711136.46,223112609.45,154035045.30,81732679.89,18938896.74,0,0,0.0
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
未分配利润,2026897778.11,1939994236.54,1785445758.88,1661316214.78,1459872366.25,1227771573.11,971738123.78,769678523.11,582199197.53,405010217.13,520865226.66,385103361.31,409731483.61,134292970.60,351501992.27,393584371.96,2144841.80,-11568562.18,0,-966808.67,-767440.40,0.0
归属于母公司股东权益合计,12479133279.37,9738009792.49,8535846650.82,6247329261.72,6093117164.29,5703248841.97,5390675150.50,5130499276.68,4900459235.05,4691059687.32,4837993064.15,4629024855.20,4597287708.86,4246700817.04,4442551622.72,4396487890.33,3939903609.53,3849673469.23,1131356215.04,947845416.82,945518270.84,0.0
少数股东权益,4655029453.11,3876738444.30,3264464221.29,1553922157.68,3747261972.66,3210210560.16,2965295264.72,2786052754.74,2586156517.76,2511344090.49,2373977768.82,2431676901.31,173634076.40,137383524.36,77771573.98,47851296.17,0,0,0,0,0,0.0
所有者权益(或股东权益)合计,17134162732.48,13614748236.79,11800310872.11,7801251419.40,9840379136.95,8913459402.13,8355970415.22,7916552031.42,7486615752.81,7202403777.81,7211970832.97,7060701756.51,4770921785.26,4384084341.40,4520323196.70,4444339186.50,3939903609.53,3849673469.23,1131356215.04,947845416.82,945518270.84,0.0
负债和所有者权益(或股东权益)总计,50994308397.69,39635113975.14,36125200242.78,25174392377.67,24326631925.36,21954981393.82,19023561191.99,16841047964.12,14445183012.07,12902941288.13,11478660742.31,11052264062.63,8373464340.37,7157133819.19,5163032608.66,5981945844.66,5133953342.36,4996908292.75,1697982800.65,1422893281.40,1429128295.75,0.0
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,,,
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,
销售商品、提供劳务收到的现金,8229117172.10,9225610728.73,6239661294.08,3703510469.01,3903016622.73,3311748114.95,3328115944.49,3504617685.32,2248747238.20,1673135869.00,1444038294.00,1379600534.83,524226061.09,337830200.56,239673816.01,199570575.96,177879020.07,166554377.99,61044014.60,,,0.0
收到的税费返还,121420092.20,99898359.62,39487781.54,79527.66,1891698.30,75213.47,0,0,0,0,34500401.41,2526144.89,19662217.79,0,0,9920600.00,14588700.00,0,0,,,0.0
收到的其他与经营活动有关的现金,870138397.51,722329554.50,493014358.84,606857724.72,456792210.63,800450763.43,346517765.06,501129495.31,891958805.87,513279174.03,558106242.55,444244869.04,445104887.86,445608779.79,443382706.35,442201506.07,456661241.98,361626073.05,120338602.56,,,0.0
经营活动现金流入小计,9220675661.81,10047838642.85,6772163434.46,4310447721.39,4361700531.66,4112274091.85,3674633709.55,4005747180.63,3140706044.07,2186415043.03,2036644937.96,1826371548.76,988993166.74,783438980.35,683056522.36,651692682.03,649128962.05,528180451.04,181382617.16,,,0.0
购买商品、接受劳务支付的现金,3162710390.88,3374836502.25,2649040994.17,2165989894.67,2372128999.82,2448940936.69,1826596506.85,2298535057.91,1381217671.00,995352546.94,419161453.32,382032000.33,159371110.33,57848277.25,18682408.36,16970399.22,38498736.34,39871772.98,8025183.14,,,0.0
